,vol_annual,beta,max_drawdown
세아베스틸지주,0.49249008475334366,0.7522942812650719,-0.48415672913117547
아모레퍼시픽홀딩스,0.4515329260416344,0.7743154058939189,-0.5755605381165919
현대지에프홀딩스,0.3495931819789525,0.6867110617683997,-0.40248471701833954
영원무역홀딩스,0.31914970158456757,0.5036391886112254,-0.24563106796116507
삼성물산,0.3118551060406261,0.9580409580575854,-0.3659250585480094
동아쏘시오홀딩스,0.2785098859813582,0.30069377544103276,-0.27926944971537004
오리온홀딩스,0.2561247640984397,0.4125162004110107,-0.23320312499999996
KT,0.2401022346872623,0.3660737362769653,-0.23684210526315785
강원랜드,0.23251855182779088,0.5237428781015994,-0.4887640449438202
LG유플러스,0.18646522521236292,0.323511021811205,-0.217283950617284
