,weight,beta,risk_contrib_pct
영원무역홀딩스,0.2169045842132842,0.493191408181694,28.881873357895284
삼성물산,0.1089683535258904,0.9587468542474307,11.895629293305722
동아쏘시오홀딩스,0.10728122965527097,0.28335081546826185,7.371025546055282
강원랜드,0.10724153262302111,0.5201710841542492,8.273959444281056
LG유플러스,0.09328008638074217,0.32473621887010884,4.833861482081052
세아베스틸지주,0.08479286088572019,0.7580933083129612,11.954209801590395
KT,0.08145831017673119,0.35980108065932964,5.131467616865231
오리온홀딩스,0.07681375740349651,0.403728774078054,6.3378912111413594
현대지에프홀딩스,0.07413420772663036,0.6885239780749224,9.567574037706478
아모레퍼시픽홀딩스,0.04912507740921289,0.7661185719690073,5.75250820907815
