metric,value
total_cost_krw,4999410.0
total_value_krw,5038160.0
total_pnl_krw,38750.0
total_pnl_pct,0.007750914607923735
vol_annual,0.17130795794418482
beta,0.5412025605672574
VaR95_1d_krw,89708.41170571608
VaR99_1d_krw,126679.15107534453
