,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,128100.0,130600,8,1044800,1024800.0,-20000.0,-1.914241960183767,0.2079182610177607
동아쏘시오홀딩스,110300.0,111060,5,555300,551500.0,-3800.0,-0.6843147848010085,0.11189199936699358
강원랜드,18170.0,18670,30,560100,545100.0,-15000.0,-2.678093197643278,0.11059352466899039
삼성물산,163900.0,162600,3,487800,491700.0,3900.0,0.7995079950799507,0.09975937640752629
LG유플러스,14910.0,14710,31,456010,462210.0,6200.0,1.3596193065941535,0.09377624846313347
세아베스틸지주,27950.0,29050,16,464800,447200.0,-17600.0,-3.7865748709122204,0.09073091952297285
KT,55700.0,54400,8,435200,445600.0,10400.0,2.389705882352941,0.09040630084847207
오리온홀딩스,20050.0,20600,18,370800,360900.0,-9900.0,-2.669902912621359,0.07322179976708611
현대지에프홀딩스,7730.0,8200,45,369000,347850.0,-21150.0,-5.731707317073171,0.07057412870318898
아모레퍼시픽홀딩스,28000.0,28400,9,255600,252000.0,-3600.0,-1.4084507042253522,0.05112744123387558
