,vol_annual,beta,max_drawdown
세아베스틸지주,0.4959151159608889,0.7407130088072048,-0.48415672913117547
아모레퍼시픽홀딩스,0.4515281368166461,0.7819517212891256,-0.5755605381165919
현대지에프홀딩스,0.3494525582729589,0.6952266338586376,-0.4190950920245399
영원무역홀딩스,0.3196706405459088,0.5016395330468342,-0.24563106796116507
삼성물산,0.31185622878517866,0.9568770112163945,-0.3659250585480094
동아쏘시오홀딩스,0.2778254097769157,0.29624763358242506,-0.28584858655084566
오리온홀딩스,0.2570293984595867,0.40862098748786463,-0.23036951501154734
KT,0.2403913584984808,0.36100903515056537,-0.2592592592592593
강원랜드,0.23245452428433253,0.523763765390901,-0.4887640449438202
LG유플러스,0.18581536296296547,0.3358876209979498,-0.23614457831325297
